chrom1	start1	end1	chrom2	start2	end2	obs.raw	cstart1	cstart2	c_label	c_size	la_exp.donut.value	la_exp.vertical.value	la_exp.horizontal.value	la_exp.lowleft.value
chr1	920000	925000	chr1	995000	1000000	88	920000.0	995000.0	1	1	34.08131666686474	46.85664342416279	39.65060473617126	33.35523742963593
chr1	1050000	1060000	chr1	1180000	1190000	241	1060000.0	1180000.0	5	4	118.82900835789194	119.9579043371019	143.29188283594354	108.19643984727682
chr1	1340000	1345000	chr1	1440000	1445000	64	1340000.0	1440000.0	6	1	31.04148622230856	38.971686020567546	29.741746620685397	30.184130198432264
chr1	1585000	1590000	chr1	1645000	1650000	80	1582500.0	1645000.0	7	2	26.02631712590241	24.995098225670056	30.42321843618888	25.34700645208927
chr1	1710000	1715000	chr1	1835000	1840000	154	1715000.0	1835000.0	8	3	53.82213308200014	81.24620579562513	53.57801971627802	74.40391722378548
chr1	1840000	1850000	chr1	2510000	2520000	48	1840000.0	2490000.0	12	2	19.42498576747792	19.256020765325967	23.51590526786969	19.182436415266114
chr1	2120000	2130000	chr1	2310000	2320000	506	2127500.0	2311666.666666666	15	12	143.9116720707016	186.86016969949176	170.2908238261916	159.57635028249263
chr1	2130000	2135000	chr1	2515000	2520000	52	2130000.0	2515000.0	13	1	20.826566503322045	19.96110373431522	23.75246023468587	22.778790663558738
chr1	2345000	2350000	chr1	2470000	2475000	115	2345000.0	2475000.0	14	3	52.45826722737418	56.57521558545751	68.29304899150469	55.884981350805646
chr1	2345000	2350000	chr1	3340000	3345000	54	2347500.0	3340000.0	15	2	15.34331413830885	22.262363527443323	16.942244805959717	18.709487706622056
chr1	2510000	2520000	chr1	3580000	3590000	82	2505000.0	3580000.0	23	2	43.68182622335009	45.98083705133693	47.29490751678164	36.37569392894989
chr1	3360000	3370000	chr1	3530000	3540000	231	3385714.285714285	3530000.0	26	7	96.23102633224556	144.93881266602287	96.14948775440493	123.05334117905649
chr1	3475000	3480000	chr1	3535000	3540000	130	3475000.0	3537500.0	17	4	59.768368084875355	71.1876124477569	61.78283089061641	53.252737262469566
chr1	4710000	4720000	chr1	4880000	4890000	87	4710000.0	4880000.0	33	1	45.6146220034	47.80384901576117	50.407252453639316	43.20367762256101
chr1	5565000	5570000	chr1	5805000	5810000	73	5567500.0	5805000.0	19	2	29.568185695597528	31.847110258679532	33.58183345586483	28.24921809086753
chr1	5565000	5570000	chr1	5975000	5980000	63	5566666.666666666	5971666.666666666	20	3	18.189058482520565	18.947643353368953	23.127370628552523	19.64157229789012
chr1	6305000	6310000	chr1	6400000	6405000	168	6308125.0	6401250.0	23	8	50.632096889653404	58.59181282220821	63.266023230530564	51.3903007398175
chr1	6305000	6310000	chr1	6460000	6465000	131	6305555.555555555	6467222.222222223	22	9	46.64358286787643	53.9037466950105	63.53483835879568	39.224298764070156
chr1	6405000	6410000	chr1	6465000	6470000	239	6404285.714285714	6467857.142857143	24	7	96.42087088331604	103.00752421915772	104.15632327136093	97.88984308136507
chr1	6540000	6550000	chr1	6700000	6710000	319	6540000.0	6696666.666666666	41	6	126.98609053431666	161.26899504337212	128.15728842852306	133.60194361258561
chr1	6780000	6785000	chr1	7130000	7135000	71	6779166.666666666	7130833.333333332	27	6	24.24756953042367	26.86225350950031	31.58184122149845	25.93062093030123
chr1	6780000	6785000	chr1	7280000	7285000	42	6778333.333333332	7273333.333333332	28	3	15.661723255626896	14.990833944714884	16.997178849416198	17.17830114906608
chr1	6780000	6785000	chr1	7705000	7710000	36	6780000.0	7705000.0	30	1	10.332220776679717	12.585075008504875	11.488292364102307	10.155631634427477
chr1	6785000	6790000	chr1	6950000	6955000	97	6783333.333333332	6948333.333333332	29	3	40.06344374357871	46.809904272633325	46.070438755557106	39.30175420000885
chr1	6850000	6860000	chr1	7710000	7720000	56	6850000.0	7705000.0	50	2	22.700725856948534	28.733730624922252	20.140479043977077	18.00397058319195
chr1	6855000	6860000	chr1	7125000	7130000	59	6855000.0	7128333.333333332	32	3	20.76725795128872	28.606181372406308	25.315716900469713	16.53482324363635
chr1	7100000	7105000	chr1	7705000	7710000	64	7102500.0	7705000.0	33	2	20.37252823919043	26.87536276995656	19.20105469262637	22.134066112170103
chr1	7720000	7730000	chr1	8370000	8380000	58	7720000.0	8370000.0	55	1	23.990404504791304	25.137414061364762	29.65246552037903	25.532424331255907
chr1	7725000	7730000	chr1	7810000	7815000	96	7726000.0	7808000.0	35	5	30.89928512920941	34.0760116835395	33.82696719597818	34.396412984559156
chr1	7730000	7735000	chr1	7960000	7965000	93	7725714.285714285	7960714.285714285	36	7	26.297816832282805	28.01742556984739	31.57072790085909	28.24724907098589
chr1	7860000	7870000	chr1	8400000	8410000	60	7860000.0	8400000.0	57	1	27.28376205140625	31.84920060105028	25.999459000356	29.526672424572716
chr1	8080000	8085000	chr1	8370000	8375000	159	8079285.714285714	8376785.714285714	38	14	74.37523013016634	77.46022553022449	90.69589796634828	60.6881511795432
chr1	8620000	8625000	chr1	8730000	8735000	181	8621666.666666666	8733333.333333332	43	3	82.47402596286076	87.114616629862	104.50076988034893	75.18484860539797
chr1	8620000	8625000	chr1	8785000	8790000	144	8616666.666666666	8786666.666666666	41	3	67.82753851126482	73.60709143901705	84.80224417757425	66.07649954026583
chr1	8620000	8625000	chr1	8900000	8905000	91	8621875.0	8907500.0	42	8	40.20271351088745	46.7717257677888	45.56367712895149	36.79436395226161
chr1	8980000	8985000	chr1	9045000	9050000	190	8975000.0	9050384.615384616	45	13	83.42923408125414	97.66256825333805	100.14935867823135	75.0090344453391
chr1	9065000	9070000	chr1	9160000	9165000	223	9068214.285714284	9157857.142857142	47	14	98.16468621109344	131.7926744383627	111.83876844326952	111.236734061059
chr1	9170000	9180000	chr1	9250000	9260000	956	9167777.777777778	9253333.333333332	75	9	372.1704566341794	414.8771021962857	400.952257385866	383.5153901961905
chr1	9195000	9200000	chr1	9255000	9260000	308	9177941.176470587	9250588.235294117	48	17	159.88963525551918	189.0256035905544	181.72486213754644	142.5342361006604
chr1	9340000	9350000	chr1	9510000	9520000	640	9340000.0	9529523.80952381	77	21	270.15679233973356	285.18498015104336	369.21599074607695	229.9076877335369
chr1	9345000	9350000	chr1	9550000	9555000	268	9344210.52631579	9532631.578947367	50	13	90.24494415234841	94.56546390639109	124.3445530444855	98.46608590208255
chr1	9345000	9350000	chr1	9630000	9635000	80	9335000.0	9630000.0	51	4	32.368470898921515	40.05330395505138	33.36249640078181	30.497671453922788
chr1	9555000	9560000	chr1	9625000	9630000	94	9554000.0	9629000.0	55	5	44.572285998311926	49.09304034568788	48.0888560817405	48.07803856671165
chr1	9685000	9690000	chr1	9745000	9750000	214	9690000.0	9765000.0	57	8	103.59540213892343	123.0841153022287	139.88976692228192	102.44962712563265
chr1	9685000	9690000	chr1	9930000	9935000	99	9681666.666666666	9926666.666666666	56	6	55.486833282563886	61.127799257105046	58.96344864627596	48.90120821534195
chr1	9845000	9850000	chr1	9925000	9930000	240	9843214.285714284	9923571.428571427	59	14	93.05664006892	113.8652377936033	107.47358427739172	86.75063241671336
chr1	9930000	9935000	chr1	10475000	10480000	69	9932000.0	10480000.0	61	5	32.247519684087216	39.34910228203341	33.24544445161222	35.35434688829754
chr1	10490000	10495000	chr1	10550000	10555000	196	10487500.0	10552500.0	66	4	76.87913472003676	81.70677315230286	90.02387181001158	85.9010832811822
chr1	10565000	10570000	chr1	10925000	10930000	136	10563000.0	10925500.0	67	10	41.48795002473341	48.01702866432753	51.54548784482686	40.79642655411092
chr1	11095000	11100000	chr1	11700000	11705000	76	11095000.0	11696666.666666664	71	6	20.659377593087125	23.755387099106642	25.869843625338	20.50393727159108
chr1	11300000	11305000	chr1	11700000	11705000	65	11299166.666666664	11700000.0	72	6	25.87025485146597	33.95135013653777	26.716790735102485	22.571616144687162
chr1	11380000	11385000	chr1	11700000	11705000	114	11380000.0	11700000.0	73	1	52.962711982683366	70.19456222916958	51.64316021465697	56.44285979351207
chr1	11715000	11720000	chr1	11775000	11780000	189	11715714.285714285	11783214.285714285	74	14	87.12921552042157	104.54306415500379	107.63691474967912	87.56984273368288
chr1	11895000	11900000	chr1	11955000	11960000	212	11895000.0	11960000.0	76	7	81.99719076936229	102.75686493298063	90.19781098029236	82.36876217085572
chr1	11900000	11905000	chr1	12025000	12030000	98	11896250.0	12025000.0	77	4	46.6156867703345	51.53152198689161	52.42923964164158	39.63325236436837
