chrom	start	end	weight	ref	E1	E2	E3
chr1	0	200000		25.0			
chr1	200000	400000		15.0			
chr1	400000	600000		24.0			
chr1	600000	800000		33.0			
chr1	800000	1000000	0.003628743019755388	81.0	0.8629454551592878	-0.09861851961910426	-0.1631494731132611
chr1	1000000	1200000	0.0032763540663403646	52.0	1.0795944600715919	-0.026072049516619684	-0.3916411858050968
chr1	1200000	1400000	0.0033649660905437197	180.0	1.0553709252762151	-0.04294593443191317	-0.5131995939553295
chr1	1400000	1600000	0.0032201782100318667	57.0	1.079433872305281	0.006806985333194068	-0.5193185439688572
chr1	1600000	1800000	0.00361260975371394	113.0	1.1227450151308482	-0.029067667513229156	-0.30088465243052026
chr1	1800000	2000000	0.002771340015039242	29.0	1.0055582654955528	0.04692729343944921	0.18272213202527768
chr1	2000000	2200000	0.002981200521431759	52.0	0.7699001373337018	0.0715579462036517	0.6089845847418153
chr1	2200000	2400000	0.0028987245817664875	32.0	0.7635748286929862	0.07140907525291418	0.9992342710999793
chr1	2400000	2600000	0.002625726646784655	87.0	0.3391045829778831	-0.013488118223755043	0.9735348695940372
chr1	2600000	2800000		7.0			
chr1	2800000	3000000	0.0031066185889579577	2.0	-0.7331101902113084	-0.3107920519901101	0.7794936962756165
chr1	3000000	3200000	0.002982285532729312	14.0	-0.6259780862800578	-0.24173892666071278	0.868833406362797
chr1	3200000	3400000	0.002733528437862901	9.0	-0.28365291092465306	-0.12038355417487034	1.0005110074658286
chr1	3400000	3600000	0.0028250637258056596	24.0	0.4159208500054904	0.030930548933493476	1.0549284645741184
chr1	3600000	3800000	0.0025575522851784896	50.0	0.48003638154390044	0.048990518457854314	1.1889156066278608
chr1	3800000	4000000	0.002439500052816976	35.0	-0.23775294705308497	-0.17159519722479868	1.1353981421646067
chr1	4000000	4200000	0.002857670312737504	0.0	-0.8681955635874198	-0.42376524720008674	0.6802534803972055
chr1	4200000	4400000	0.001970730300413243	0.0	-0.5665708985386679	-0.30805799464343087	0.3660781462795262
chr1	4400000	4600000	0.0029287280750168324	9.0	-0.903998702107545	-0.3777730431684147	0.6414497841160524
chr1	4600000	4800000	0.0028441508526031874	3.0	-0.8443384900397743	-0.39889441632940614	0.6793150827445898
chr1	4800000	5000000	0.003054334582659453	1.0	-0.9422355610758125	-0.44075928594172115	0.5803234595644102
chr1	5000000	5200000	0.0030626025609538114	1.0	-0.9863509004384561	-0.38857673417642324	0.6129999811137263
chr1	5200000	5400000	0.00274830225498451	0.0	-0.9230644966879832	-0.4233373650058605	0.6165214568986006
chr1	5400000	5600000	0.002755785742236891	3.0	-0.8934772373309926	-0.403042581193703	0.6591610923128827
chr1	5600000	5800000	0.0028223835636713773	1.0	-0.953465227195079	-0.370286498356506	0.7235664762079754
chr1	5800000	6000000	0.0022971083515555403	20.0	-0.24677040708922554	-0.1543310734610232	1.219781811473624
chr1	6000000	6200000	0.002360583058998744	33.0	0.5519133431546095	0.10915519807737134	1.1591021058824
chr1	6200000	6400000	0.002581598553341884	33.0	0.7500092803947923	0.14495285549428485	0.8058084754588868
chr1	6400000	6600000	0.0023905813897645697	81.0	0.854712912499164	0.0894973918747641	0.42766570843560886
chr1	6600000	6800000	0.0023198474386383946	39.0	0.6780443327610204	0.08390617648600325	0.17267605225999771
chr1	6800000	7000000	0.002455234519748852	13.0	0.5067856388831022	0.06348063843104111	0.22539521219586478
chr1	7000000	7200000	0.00270068479714383	2.0	0.28844548217387317	0.043609914916346894	0.1116519801423001
chr1	7200000	7400000	0.002530323101766131	6.0	0.5252166186754722	0.10113255628374156	0.2289804016556758
chr1	7400000	7600000	0.002674898219578821	2.0	0.4677190850434192	0.07549880194589365	0.2567115544939652
chr1	7600000	7800000	0.002582795216900075	18.0	0.3694744844002	0.04309300916103383	0.06264008149497918
chr1	7800000	8000000	0.0023832062483374666	26.0	0.5310516548800522	0.04600379944879017	0.033321694786180946
chr1	8000000	8200000	0.002517990967726955	6.0	0.7756003690159486	0.05655454357155349	-0.02684961862665298
chr1	8200000	8400000	0.002596769386196334	22.0	0.6775716809464754	0.028877100302838125	-0.14372398057655922
chr1	8400000	8600000	0.00258062240929287	18.0	0.7898757062979497	0.033403101260557844	-0.1403512365839083
chr1	8600000	8800000	0.002608878903643782	7.0	0.7690778443125657	0.025734516253760747	-0.20405988258019742
chr1	8800000	9000000	0.0024032167503288734	21.0	0.7505234837772636	-0.011217705716509653	-0.35524276969925117
chr1	9000000	9200000	0.002310287119246379	24.0	0.7855279008013631	-0.03428062162563669	-0.3370178072360971
chr1	9200000	9400000	0.0023694449804530135	7.0	0.9054086812102182	-0.010680725444253062	-0.3295712485309612
chr1	9400000	9600000	0.0026015666043271058	6.0	0.7616802380363005	-0.014591987228993897	-0.3824758157979328
chr1	9600000	9800000	0.0025027973265483	20.0	0.8254394609223886	-0.008366429570791648	-0.4127353959106021
chr1	9800000	10000000	0.002389094908633083	24.0	0.7239321732508159	-0.04575780903671572	-0.3934834799105756
chr1	10000000	10200000	0.0025310852675221687	13.0	0.7770017898531153	-0.020771458893140377	-0.3411428179176203
chr1	10200000	10400000	0.002533056217943593	23.0	0.7888727030176345	0.021332123699758416	-0.28620399303973654
chr1	10400000	10600000	0.002269564292319321	30.0	0.6609626638849153	-0.0025589236115522505	-0.20085557513324578
chr1	10600000	10800000	0.0026496698236641476	13.0	0.830377669243409	0.08742839878233397	0.022075049051755894
chr1	10800000	11000000	0.002514179381961477	7.0	0.6248968043077544	0.03286759419875611	-0.07101680274786218
chr1	11000000	11200000	0.0024787504709570542	72.0	0.6277886548385838	0.03181631277556908	0.13612415630338873
chr1	11200000	11400000	0.0024594997547868662	6.0	0.2605905693968155	0.0503606229964466	0.39329550808503017
chr1	11400000	11600000	0.0026999320665856267	3.0	0.03373165356451773	0.015286802185351183	0.49732570787365765
chr1	11600000	11800000	0.0023735535621410876	54.0	0.4678018897532089	0.04565105543628328	0.34810966901370716
chr1	11800000	12000000	0.002365904061799333	46.0	0.7570689594269551	0.10672755710400281	0.4028902131548851
chr1	12000000	12200000	0.0025684565017076912	25.0	0.6543071379965626	0.12291539438928395	0.9268720194241324
chr1	12200000	12400000	0.002467118824746339	12.0	0.20345639677338373	0.009472592119729633	0.9954788634209593
chr1	12400000	12600000	0.0024017583887551756	18.0	0.25128829924104307	0.10013869355501923	1.299004548804425
chr1	12600000	12800000	0.0026400243302708306	13.0	-0.6380828066326382	-0.31013907770481414	0.960600562802139
chr1	12800000	13000000		13.0			
chr1	13000000	13200000		12.0			
chr1	13200000	13400000		13.0			
chr1	13400000	13600000	0.0028787503782255483	16.0	-0.8806979787508535	-0.37984021196240386	0.6086109148166091
