chrom	start	end	weight	ref	E1	E2	E3
chr1	0	200000		25.0			
chr1	200000	400000		15.0			
chr1	400000	600000		24.0			
chr1	600000	800000		33.0			
chr1	800000	1000000	0.002478386667781082	81.0	0.881491348082589	-0.09564571561419977	-0.132322379653083
chr1	1000000	1200000	0.0022026915190615083	52.0	1.0785631536655045	-0.02603607016610935	-0.2567717720285893
chr1	1200000	1400000	0.002260632482725619	180.0	1.0416069745977026	-0.03795797526972738	-0.39751010363394107
chr1	1400000	1600000	0.0022309240267616346	57.0	1.0852637817523372	-0.0031439218650012243	-0.3983794180798263
chr1	1600000	1800000	0.0025639728675850826	113.0	1.1593056880363803	-0.0042539100895047765	-0.21029311983498103
chr1	1800000	2000000	0.0019695607683181404	29.0	1.0560908246309084	0.07534370983857296	0.25403888641473016
chr1	2000000	2200000	0.0020136731048852738	52.0	0.8703390186888692	0.09433468370296341	0.644130956025213
chr1	2200000	2400000	0.001934627869594846	32.0	0.8561899230478757	0.11132081686055512	1.004794989348072
chr1	2400000	2600000	0.0016956362215070815	87.0	0.3638394068097568	-0.02421590150516614	0.9405777307071327
chr1	2600000	2800000		7.0			
chr1	2800000	3000000	0.0021627123170779375	2.0	-0.6939639413339911	-0.32831535097987996	0.8824362101846026
chr1	3000000	3200000	0.002082819580811271	14.0	-0.6014151437677037	-0.2574803664985882	0.9990287221251714
chr1	3200000	3400000	0.001828375038996117	9.0	-0.208274864476856	-0.12299025501123122	1.044761261070044
chr1	3400000	3600000	0.0018164531682212577	24.0	0.5053027892287313	0.035635694945689626	1.090367383593249
chr1	3600000	3800000	0.0017296302336536201	50.0	0.540801402623439	0.07921711754015674	1.2984238849736665
chr1	3800000	4000000	0.0017030897255250123	35.0	-0.22951748497080562	-0.20723219971312123	1.308736085881884
chr1	4000000	4200000	0.0020677933294522034	0.0	-0.8906263433899365	-0.4390974807555233	0.8503902776156266
chr1	4200000	4400000	0.0014452834143989116	0.0	-0.5787511391325402	-0.31725837767071796	0.4869893582907056
chr1	4400000	4600000	0.0021301597778944307	9.0	-0.9109540461053237	-0.4108297753250399	0.788097890028129
chr1	4600000	4800000	0.0020482386527867	3.0	-0.8618074567284533	-0.4364354971299418	0.8171885053391039
chr1	4800000	5000000	0.0022296505916345128	1.0	-0.9505937278303421	-0.4424275434881482	0.7368901546945552
chr1	5000000	5200000	0.002269779337211354	1.0	-1.0110042730878874	-0.43321455371354617	0.7806515352492989
chr1	5200000	5400000	0.0020223458978013095	0.0	-0.9186712813736296	-0.4101129756119853	0.7625641027126951
chr1	5400000	5600000	0.002016620574078673	3.0	-0.8981009202770422	-0.4275848874076037	0.7988419126129673
chr1	5600000	5800000	0.0020370822461075614	1.0	-0.9543075448424708	-0.3731431750688873	0.918131842278243
chr1	5800000	6000000	0.0016139206461421778	20.0	-0.268818270765525	-0.17333873548062656	1.3402429140613978
chr1	6000000	6200000	0.001633122889025822	33.0	0.5679767592514698	0.11533338648930447	1.3290868613066742
chr1	6200000	6400000	0.001792821138759034	33.0	0.8177763330856855	0.19249576497801407	0.9671065152160524
chr1	6400000	6600000	0.0016707554459662606	81.0	0.9402078412490217	0.13348409931162822	0.5546308094582041
chr1	6600000	6800000	0.0016727638053490132	39.0	0.7454581255977226	0.08356311427484646	0.19125189722978503
chr1	6800000	7000000	0.0017799199472266927	13.0	0.5864447892875957	0.05729431556912116	0.2039457479307467
chr1	7000000	7200000	0.0019151435746578456	2.0	0.37291502620046346	0.0010315282581892225	0.05943074455339
chr1	7200000	7400000	0.0018050925467302257	6.0	0.6156475031542823	0.08199473256276504	0.20021534677420158
chr1	7400000	7600000	0.0018578559383642817	2.0	0.5595557958820822	0.05487978883373724	0.22108253288169075
chr1	7600000	7800000	0.001831122992584514	18.0	0.4586095122107839	0.00763661162113913	0.0262852244874347
chr1	7800000	8000000	0.001719579858183834	26.0	0.5829177744134721	0.03932624131407084	-0.012593973317232835
chr1	8000000	8200000	0.0018156956347667248	6.0	0.8294299608776776	0.06480632015301743	-0.03798043992986878
chr1	8200000	8400000	0.0018557673344830822	22.0	0.7224678670043	0.03808018611476605	-0.13985779933738057
chr1	8400000	8600000	0.0019142632117087675	18.0	0.813236178847001	0.041389471525762986	-0.1293311699517712
chr1	8600000	8800000	0.0019110567699606896	7.0	0.8022270858219265	0.032273189186973986	-0.18696496490677308
chr1	8800000	9000000	0.0017409838338719784	21.0	0.7634393213839089	-0.012344372224646854	-0.3118843399630548
chr1	9000000	9200000	0.001666096957553299	24.0	0.819135801373147	-0.022683569011776906	-0.3095157325107764
chr1	9200000	9400000	0.001686053675258763	7.0	0.9301526658354091	-0.006974070520386709	-0.2732100824589934
chr1	9400000	9600000	0.001852803509351259	6.0	0.7769941382425868	-0.026054594111930438	-0.3479984753963122
chr1	9600000	9800000	0.0017987470491341217	20.0	0.829777751015226	-0.00579733919358409	-0.3545229106642437
chr1	9800000	10000000	0.0017334809044401856	24.0	0.7290427653856958	-0.02878347231929527	-0.3460768068507241
chr1	10000000	10200000	0.0018742993887339331	13.0	0.7936219310618561	-0.002821387470448351	-0.2879934674628927
chr1	10200000	10400000	0.0018712248505800193	23.0	0.7966085064574207	0.02150332807000304	-0.26335411622701443
chr1	10400000	10600000	0.0016668180759722147	30.0	0.6991213896351675	-0.00229063107438797	-0.19765415794898347
chr1	10600000	10800000	0.0018789542797578334	13.0	0.8912650296663625	0.08237821838469477	0.07171651253869249
chr1	10800000	11000000	0.0018089566617727367	7.0	0.6600716870950357	0.010759054780980644	-0.0810665876221672
chr1	11000000	11200000	0.001835593814992624	72.0	0.6698762709915504	0.04125649067829705	0.08963861799259903
chr1	11200000	11400000	0.0018207548694019005	6.0	0.3561532720281055	0.040025845827889525	0.3445650663596754
chr1	11400000	11600000	0.001973857714193139	3.0	0.1663961935794661	0.01666340945514145	0.5215105464469709
chr1	11600000	11800000	0.0016893350184919798	54.0	0.5641051087596893	0.061935654239005586	0.32356722245519515
chr1	11800000	12000000	0.001717979754273658	46.0	0.8310803333495571	0.12635763801835523	0.48739649455884687
chr1	12000000	12200000	0.0018152906074607787	25.0	0.7407092656608147	0.15630648649171305	1.0209875302965759
chr1	12200000	12400000	0.001798793624253712	12.0	0.21430636389781482	0.022356374437047518	1.0640661460850414
chr1	12400000	12600000	0.001711922579101282	18.0	0.2919439288942684	0.11111035379592159	1.434130189643211
chr1	12600000	12800000	0.0018863099393757186	13.0	-0.6445488028639765	-0.3074346222957569	1.105231734541858
chr1	12800000	13000000		13.0			
chr1	13000000	13200000		12.0			
chr1	13200000	13400000		13.0			
chr1	13400000	13600000	0.002140261964821821	16.0	-0.9160234837667975	-0.40220214769131774	0.7609410098634146
