chrom	start	end	weight	ref	E1	E2	E3
chr1	0	200000		25.0			
chr1	200000	400000		15.0			
chr1	400000	600000		24.0			
chr1	600000	800000		33.0			
chr1	800000	1000000	0.0020326971859779804	81.0	0.7867438445121906	-0.052193228341223474	-0.27377777469339665
chr1	1000000	1200000	0.0015922966971275868	52.0	0.7867373922460983	-0.09494745911061231	-0.2764358184881004
chr1	1200000	1400000	0.0015542409911858646	180.0	0.7812466509780367	-0.11888743424811446	-0.28516955429156915
chr1	1400000	1600000	0.0016284502590436498	57.0	0.6945169708646196	-0.12423059357063633	-0.3327053126530753
chr1	1600000	1800000	0.0018868945672472863	113.0	0.7243579570514201	-0.1351617009475543	-0.2895874893037293
chr1	1800000	2000000	0.0014988757806002422	29.0	0.6819338499107281	-0.08896781846918057	-0.2958849745693178
chr1	2000000	2200000	0.0014632621568701288	52.0	0.7351113285062542	-0.16860023953735973	-0.28921335774084334
chr1	2200000	2400000	0.0015021532983680193	32.0	0.713851320827767	-0.195759236624992	-0.31966959547476603
chr1	2400000	2600000	0.001349097994050456	87.0	0.6062897884702714	-0.3459570740757594	-0.40835113959204167
chr1	2600000	2800000	0.003778151484539186	7.0	0.4988549125804379	-0.3661250070426533	-0.4256212022091203
chr1	2800000	3000000	0.0021003866669174814	2.0	0.47901359126950616	-0.34758977584335143	-0.4349572017187534
chr1	3000000	3200000	0.0015423257515937083	14.0	0.5368949216887859	-0.3147036119800953	-0.4177597146187888
chr1	3200000	3400000	0.0015233000213271386	9.0	0.5630796279766682	-0.32546183863329975	-0.42876608432487456
chr1	3400000	3600000	0.001457084812855283	24.0	0.6979101791849088	-0.27437942781426977	-0.39708481417668856
chr1	3600000	3800000	0.0013012573531393345	50.0	0.7072897661242463	-0.1430696832673136	-0.34206098435643617
chr1	3800000	4000000	0.0014977760686029696	35.0	0.5204691466323472	-0.2087822690118182	-0.37764783864550777
chr1	4000000	4200000	0.0016544230573750794	0.0	0.42905394537192876	-0.22993186998330503	-0.4179419734186235
chr1	4200000	4400000	0.001386038460795561	0.0	0.33499848994353165	-0.1800678191953211	-0.49512693246943024
chr1	4400000	4600000	0.0018438207471852687	9.0	0.377139744202334	-0.2779154047013467	-0.45960950017808827
chr1	4600000	4800000	0.0016118384170772868	3.0	0.41358591151453966	-0.2862585149903864	-0.458514550164196
chr1	4800000	5000000	0.0019307511594473783	1.0	0.33479843848889285	-0.25857317389132195	-0.48218649455985163
chr1	5000000	5200000	0.002004629940502015	1.0	0.34319671429840953	-0.2108633183918913	-0.45991281654379707
chr1	5200000	5400000	0.0016910965650883368	0.0	0.3186022343585403	-0.26886234239374374	-0.47076155567180855
chr1	5400000	5600000	0.0016288895000338085	3.0	0.38401529975024284	-0.2797725821620814	-0.4596849763254151
chr1	5600000	5800000	0.0015833417898735711	1.0	0.477330469900567	-0.15996178800078556	-0.41124217778775857
chr1	5800000	6000000	0.001387496711401908	20.0	0.5552053460036223	-0.16268045840481432	-0.40232399749574066
chr1	6000000	6200000	0.0012246429946191492	33.0	0.6922227458062904	-0.01716080044610572	-0.3329297625383253
chr1	6200000	6400000	0.001346670191649948	33.0	0.7012554169170613	0.029252550657415173	-0.3388165741218734
chr1	6400000	6600000	0.0012692070238076061	81.0	0.6923905440949727	0.059612868474703554	-0.32979771068205155
chr1	6600000	6800000	0.0014639809290873257	39.0	0.5406810547772407	0.007049480581708606	-0.417024602643718
chr1	6800000	7000000	0.0015801446990721885	13.0	0.46022558041437706	0.07603577309113584	-0.423726160825781
chr1	7000000	7200000	0.0016460738774204263	2.0	0.4687061324727279	0.02314042268003138	-0.4514694384694588
chr1	7200000	7400000	0.001718802174214822	6.0	0.46916290256806237	0.029091443806036163	-0.4568201943958372
chr1	7400000	7600000	0.0015787255958866857	2.0	0.502273129972731	0.04551287392898264	-0.3935496886757369
chr1	7600000	7800000	0.0015648749678247905	18.0	0.5217999561277115	0.06335148725744054	-0.4161167580403609
chr1	7800000	8000000	0.0015892657264549692	26.0	0.4200787022110606	0.06588676146898811	-0.4839543117155336
chr1	8000000	8200000	0.001625756502690138	6.0	0.3228761837019766	0.041852416334535215	-0.49589922921581764
chr1	8200000	8400000	0.0015455648798030773	22.0	0.41220364682128086	0.06052236003499229	-0.4923630955081897
chr1	8400000	8600000	0.0017328392464559656	18.0	0.398575344242203	0.0903837235400559	-0.512413795894843
chr1	8600000	8800000	0.0017128476038804409	7.0	0.36138988357618534	0.08957151301280472	-0.5144132160944745
chr1	8800000	9000000	0.0013969998396390283	21.0	0.40350828884685747	0.04394208494375915	-0.5054815802906417
chr1	9000000	9200000	0.0013641026226392434	24.0	0.46630601196705285	0.07022552399432647	-0.465276166447616
chr1	9200000	9400000	0.0013604766456913884	7.0	0.5409620020900782	0.09568519848661448	-0.422040002453478
chr1	9400000	9600000	0.0014922636952315038	6.0	0.527763061070719	0.029324531870803968	-0.45587348976416486
chr1	9600000	9800000	0.0013789211036993468	20.0	0.5384919711062798	0.012965425420121716	-0.49059176770228596
chr1	9800000	10000000	0.001337891333828914	24.0	0.4217142031772046	-0.005523669507835675	-0.5349552694442498
chr1	10000000	10200000	0.0015605858862404822	13.0	0.388375311621363	0.003930017211807598	-0.5340304056958641
chr1	10200000	10400000	0.001588649980676656	23.0	0.4621431054783161	0.008946829448540817	-0.507661300012448
chr1	10400000	10600000	0.0013977986372251691	30.0	0.45852320176867206	-0.07067491236427717	-0.5186384367039075
chr1	10600000	10800000	0.0012869929895938327	13.0	0.6373169076627581	0.059914309271662074	-0.44739095412806323
chr1	10800000	11000000	0.0013563739224977402	7.0	0.5447876004549218	-0.02046618877178266	-0.4942782753752739
chr1	11000000	11200000	0.0015240380988568458	72.0	0.553806247085955	-0.06274381051992567	-0.5077729365197267
chr1	11200000	11400000	0.0014363605858507382	6.0	0.5448870576814222	-0.05056899122089507	-0.508698634689459
chr1	11400000	11600000	0.0014108015760797728	3.0	0.5813564074820169	-0.009451999660653684	-0.46550741354419123
chr1	11600000	11800000	0.0012816781024933546	54.0	0.6567064164354494	-0.05154104587048032	-0.511949088505587
chr1	11800000	12000000	0.001295129909189834	46.0	0.6675125968137234	-0.0038094119243177234	-0.5218790177011008
chr1	12000000	12200000	0.0013578368946050425	25.0	0.6624443682526743	0.009104616859669613	-0.48447985683285844
chr1	12200000	12400000	0.001605169752540769	12.0	0.46808676408235467	-0.07622696622542892	-0.5745708742707285
chr1	12400000	12600000	0.0014739620976782146	18.0	0.48027350888242065	-0.0021981419413333457	-0.5680141902450929
chr1	12600000	12800000	0.0015803771083715546	13.0	0.437781895638408	-0.1271082766164221	-0.577841160669439
chr1	12800000	13000000		13.0			
chr1	13000000	13200000		12.0			
